itemid,itemtype,msg,target,competitor,distractor,trialid,targetpos,layout,prob_target,prob_competitor,prob_distr,condition,speaker,participant_id
1,critical,tr,tr_bl,tr_re,sq_gr,18,2,"tr_re,tr_bl,sq_gr",85,13,2,critical,adult,2
1,critical,tr,tr_bl,tr_re,sq_gr,21,2,"tr_re,tr_bl,sq_gr",50,50,0,critical,child,3
1,critical,tr,tr_bl,tr_re,sq_gr,2,3,"sq_gr,tr_re,tr_bl",50,50,0,critical,adult,4
1,critical,tr,tr_bl,tr_re,sq_gr,17,2,"sq_gr,tr_bl,tr_re",50,50,0,critical,child,5
1,critical,tr,tr_bl,tr_re,sq_gr,23,2,"tr_re,tr_bl,sq_gr",75,25,0,critical,child,6
1,critical,tr,tr_bl,tr_re,sq_gr,8,2,"sq_gr,tr_bl,tr_re",50,50,0,critical,child,7
1,critical,tr,tr_bl,tr_re,sq_gr,3,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,child,8
1,critical,tr,tr_bl,tr_re,sq_gr,2,2,"tr_re,tr_bl,sq_gr",47,53,0,critical,child,9
1,critical,tr,tr_bl,tr_re,sq_gr,1,3,"sq_gr,tr_re,tr_bl",100,0,0,critical,adult,10
1,critical,tr,tr_bl,tr_re,sq_gr,6,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,child,11
1,critical,tr,tr_bl,tr_re,sq_gr,3,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,12
1,critical,tr,tr_bl,tr_re,sq_gr,21,3,"tr_re,sq_gr,tr_bl",49,51,0,critical,child,13
1,critical,tr,tr_bl,tr_re,sq_gr,11,2,"tr_re,tr_bl,sq_gr",48,52,0,critical,child,14
1,critical,tr,tr_bl,tr_re,sq_gr,4,3,"tr_re,sq_gr,tr_bl",50,50,0,critical,adult,15
1,critical,tr,tr_bl,tr_re,sq_gr,22,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,adult,16
1,critical,tr,tr_bl,tr_re,sq_gr,4,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,17
1,critical,tr,tr_bl,tr_re,sq_gr,8,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,adult,18
