itemid,itemtype,msg,target,competitor,distractor,trialid,targetpos,layout,prob_target,prob_competitor,prob_distr,speaker,participant_id,condition
1,critical,tr,tr_bl,tr_re,sq_gr,18,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,114,critical
1,critical,tr,tr_bl,tr_re,sq_gr,7,1,"tr_bl,tr_re,sq_gr; ",52,48,0,child,118,critical
1,critical,tr,tr_bl,tr_re,sq_gr,13,1,"tr_bl,sq_gr,tr_re; ",50,50,0,child,93,critical
1,critical,tr,tr_bl,tr_re,sq_gr,0,2,"sq_gr,tr_bl,tr_re; ",50,50,0,child,90,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,125,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,1,"tr_bl,sq_gr,tr_re; ",50,50,0,child,158,critical
1,critical,tr,tr_bl,tr_re,sq_gr,3,2,"tr_re,tr_bl,sq_gr; ",50,50,0,child,174,critical
1,critical,tr,tr_bl,tr_re,sq_gr,10,1,"tr_bl,sq_gr,tr_re; ",50,50,0,child,138,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,175,critical
1,critical,tr,tr_bl,tr_re,sq_gr,18,2,"sq_gr,tr_bl,tr_re; ",52,48,0,child,94,critical
1,critical,tr,tr_bl,tr_re,sq_gr,15,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,168,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,3,"tr_re,sq_gr,tr_bl; ",60,40,0,child,95,critical
1,critical,tr,tr_bl,tr_re,sq_gr,5,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,130,critical
1,critical,tr,tr_bl,tr_re,sq_gr,23,1,"tr_bl,tr_re,sq_gr; ",0,100,0,child,180,critical
1,critical,tr,tr_bl,tr_re,sq_gr,9,1,"tr_bl,sq_gr,tr_re; ",68,32,0,child,119,critical
1,critical,tr,tr_bl,tr_re,sq_gr,17,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,99,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,2,"tr_re,tr_bl,sq_gr; ",95,5,0,child,169,critical
1,critical,tr,tr_bl,tr_re,sq_gr,4,1,"tr_bl,sq_gr,tr_re; ",90,5,5,child,122,critical
1,critical,tr,tr_bl,tr_re,sq_gr,13,3,"tr_re,sq_gr,tr_bl; ",56,44,0,child,139,critical
1,critical,tr,tr_bl,tr_re,sq_gr,7,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,140,critical
1,critical,tr,tr_bl,tr_re,sq_gr,6,2,"sq_gr,tr_bl,tr_re; ",54,46,0,child,150,critical
1,critical,tr,tr_bl,tr_re,sq_gr,15,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,159,critical
1,critical,tr,tr_bl,tr_re,sq_gr,10,2,"sq_gr,tr_bl,tr_re; ",50,50,0,child,100,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,2,"sq_gr,tr_bl,tr_re; ",100,0,0,child,111,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,1,"tr_bl,sq_gr,tr_re; ",91,9,0,child,101,critical
1,critical,tr,tr_bl,tr_re,sq_gr,5,3,"tr_re,sq_gr,tr_bl; ",33,57,10,child,176,critical
1,critical,tr,tr_bl,tr_re,sq_gr,21,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,170,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,141,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,3,"sq_gr,tr_re,tr_bl; ",100,0,0,child,96,critical
1,critical,tr,tr_bl,tr_re,sq_gr,20,1,"tr_bl,sq_gr,tr_re; ",42,41,17,child,112,critical
1,critical,tr,tr_bl,tr_re,sq_gr,17,2,"tr_re,tr_bl,sq_gr; ",50,50,0,child,102,critical
1,critical,tr,tr_bl,tr_re,sq_gr,15,2,"tr_re,tr_bl,sq_gr; ",50,50,0,child,135,critical
1,critical,tr,tr_bl,tr_re,sq_gr,9,2,"tr_re,tr_bl,sq_gr; ",50,50,0,child,115,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,sq_gr,tr_re; ",44,41,15,child,136,critical
1,critical,tr,tr_bl,tr_re,sq_gr,13,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,131,critical
1,critical,tr,tr_bl,tr_re,sq_gr,10,1,"tr_bl,sq_gr,tr_re; ",50,50,0,child,123,critical
1,critical,tr,tr_bl,tr_re,sq_gr,17,3,"sq_gr,tr_re,tr_bl; ",45,40,15,child,106,critical
1,critical,tr,tr_bl,tr_re,sq_gr,6,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,137,critical
1,critical,tr,tr_bl,tr_re,sq_gr,7,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,164,critical
1,critical,tr,tr_bl,tr_re,sq_gr,12,2,"sq_gr,tr_bl,tr_re; ",50,50,0,child,151,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,1,"tr_bl,sq_gr,tr_re; ",50,50,0,child,103,critical
1,critical,tr,tr_bl,tr_re,sq_gr,7,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,126,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,tr_re,sq_gr; ",83,17,0,child,181,critical
1,critical,tr,tr_bl,tr_re,sq_gr,3,2,"sq_gr,tr_bl,tr_re; ",0,100,0,child,142,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,3,"tr_re,sq_gr,tr_bl; ",100,0,0,child,104,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,2,"sq_gr,tr_bl,tr_re; ",50,50,0,child,165,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,2,"sq_gr,tr_bl,tr_re; ",100,0,0,child,166,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,3,"tr_re,sq_gr,tr_bl; ",41,51,8,child,145,critical
1,critical,tr,tr_bl,tr_re,sq_gr,4,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,97,critical
1,critical,tr,tr_bl,tr_re,sq_gr,4,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,160,critical
1,critical,tr,tr_bl,tr_re,sq_gr,21,1,"tr_bl,tr_re,sq_gr; ",70,30,0,child,105,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,1,"tr_bl,sq_gr,tr_re; ",50,50,0,child,107,critical
1,critical,tr,tr_bl,tr_re,sq_gr,6,1,"tr_bl,tr_re,sq_gr; ",49,51,0,child,177,critical
1,critical,tr,tr_bl,tr_re,sq_gr,0,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,91,critical
